,EmpId,Age,DistanceFromHome,Education,EducationField,Gender,MaritalStatus,Attrition,Department_x,StandardHours_x,HourlyRate,MonthlyIncome,PercentSalaryHike,StockOptionLevel,BusinessTravel,Department_y,JobLevel,JobRole,JobSatisfaction,NumCompaniesWorked,PerformanceRating,StandardHours_y,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime,Age_group,Income_group
763,100758,34,1,4,Marketing,Male,Divorced,No,Sales,200,49.0,9725,11,1,Travel_Rarely,Sales,2,Sales Executive,4,0,3,200,16,2,2,15,1,0,9,No,25-34,8001-12000
764,100759,59,1,2,Technical Degree,Male,Married,No,Sales,200,60.0,11904,14,1,Travel_Rarely,Sales,3,Manager,4,3,3,200,14,1,1,6,4,0,4,Yes,55-60,8001-12000
765,100760,45,24,4,Medical,Male,Single,No,Human Resources,200,11.0,2177,16,0,Travel_Rarely,Human Resources,1,Human Resources,2,1,3,200,6,3,3,6,3,0,4,No,45-54,2001-4000
766,100761,53,2,3,Marketing,Female,Married,No,Sales,200,38.0,7525,12,1,Travel_Frequently,Sales,3,Sales Executive,2,2,3,200,30,2,3,15,7,6,12,No,45-54,6001-8000
767,100762,36,15,3,Other,Male,Divorced,Yes,Research & Development,200,24.0,4834,14,1,Travel_Rarely,Research & Development,2,Laboratory Technician,3,7,3,200,9,3,2,1,0,0,0,No,35-44,4001-6000
768,100763,26,2,3,Life Sciences,Male,Married,Yes,Research & Development,200,10.0,2042,14,1,Travel_Frequently,Research & Development,1,Research Scientist,1,6,3,200,6,2,3,3,2,1,2,Yes,25-34,2001-4000
769,100764,34,10,4,Life Sciences,Female,Married,No,Sales,200,11.0,2220,19,1,Travel_Rarely,Sales,1,Sales Representative,3,1,3,200,1,2,3,1,1,0,0,Yes,25-34,2001-4000
770,100765,28,10,1,Medical,Male,Married,No,Sales,200,5.0,1052,22,0,Travel_Rarely,Sales,1,Sales Representative,2,1,4,200,1,5,3,1,0,0,0,No,25-34,1000-2000
771,100766,38,3,4,Other,Male,Married,No,Research & Development,200,14.0,2821,16,1,Travel_Frequently,Research & Development,1,Research Scientist,3,3,3,200,8,2,3,2,2,2,2,No,35-44,2001-4000
772,100767,50,2,4,Medical,Male,Married,No,Research & Development,200,96.0,19237,11,1,Travel_Rarely,Research & Development,5,Research Director,3,2,3,200,29,2,2,8,1,7,7,Yes,45-54,>15000
773,100768,37,3,3,Other,Female,Single,No,Research & Development,200,21.0,4107,15,0,Travel_Rarely,Research & Development,2,Healthcare Representative,2,3,2,200,8,3,2,4,3,0,1,No,35-44,4001-6000
774,100769,40,26,3,Marketing,Male,Married,No,Sales,200,42.0,8396,14,1,Travel_Rarely,Sales,2,Sales Executive,1,1,2,200,8,3,2,7,7,7,5,No,35-44,8001-12000
775,100770,26,1,1,Medical,Female,Divorced,No,Research & Development,200,10.0,2007,13,2,Travel_Frequently,Research & Development,1,Research Scientist,3,1,3,200,5,5,3,5,3,1,3,No,25-34,2001-4000
776,100771,46,1,4,Medical,Male,Divorced,No,Research & Development,200,98.0,19627,17,2,Travel_Rarely,Research & Development,5,Research Director,4,9,3,200,23,0,3,2,2,2,2,No,45-54,>15000
777,100772,54,2,4,Life Sciences,Female,Married,No,Sales,200,53.0,10686,11,1,Travel_Rarely,Sales,3,Sales Executive,3,6,3,200,13,4,3,9,4,7,0,No,45-54,8001-12000
778,100773,56,9,3,Medical,Female,Married,No,Research & Development,200,15.0,2942,19,1,Travel_Frequently,Research & Development,1,Research Scientist,3,2,3,200,18,4,3,5,4,0,3,No,55-60,2001-4000
779,100774,36,12,5,Medical,Female,Single,No,Research & Development,200,44.0,8858,11,0,Travel_Rarely,Research & Development,3,Manufacturing Director,4,0,3,200,15,2,2,14,8,7,8,No,35-44,8001-12000
780,100775,55,2,1,Medical,Male,Single,No,Research & Development,200,84.0,16756,15,0,Non-Travel,Research & Development,4,Manager,1,7,3,200,31,3,4,9,7,6,2,No,55-60,>15000
781,100776,43,25,3,Medical,Male,Divorced,No,Sales,200,54.0,10798,13,1,Travel_Rarely,Sales,3,Sales Executive,4,5,3,200,18,5,3,1,0,0,0,No,35-44,8001-12000
782,100777,20,9,3,Marketing,Female,Single,Yes,Sales,200,12.0,2323,14,0,Travel_Frequently,Sales,1,Sales Representative,4,1,3,200,2,3,3,2,2,0,2,Yes,18-24,2001-4000
783,100778,21,10,3,Life Sciences,Female,Single,Yes,Research & Development,200,7.0,1416,13,0,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,1,6,2,1,0,1,0,No,18-24,1000-2000
784,100779,46,8,4,Life Sciences,Female,Divorced,No,Research & Development,200,23.0,4615,23,3,Travel_Rarely,Research & Development,2,Research Scientist,1,8,4,200,19,2,3,16,13,1,7,Yes,45-54,4001-6000
785,100780,51,4,4,Life Sciences,Male,Married,Yes,Research & Development,200,12.0,2461,12,3,Travel_Rarely,Research & Development,1,Research Scientist,3,9,3,200,18,2,4,10,0,2,7,Yes,45-54,2001-4000
786,100781,28,24,2,Technical Degree,Male,Single,Yes,Research & Development,200,44.0,8722,12,0,Non-Travel,Research & Development,3,Healthcare Representative,1,1,2,200,10,2,2,10,7,1,9,No,25-34,8001-12000
787,100782,26,1,2,Medical,Male,Married,No,Research & Development,200,20.0,3955,16,2,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,6,2,3,5,3,1,3,No,25-34,2001-4000
788,100783,30,20,3,Other,Male,Married,No,Research & Development,200,50.0,9957,15,1,Travel_Rarely,Research & Development,2,Manufacturing Director,1,0,3,200,7,1,2,6,2,0,2,No,25-34,8001-12000
789,100784,41,7,2,Technical Degree,Female,Married,No,Research & Development,200,17.0,3376,13,0,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,10,3,3,10,6,0,8,No,35-44,2001-4000
790,100785,38,17,1,Life Sciences,Female,Married,No,Research & Development,200,44.0,8823,18,1,Travel_Rarely,Research & Development,3,Healthcare Representative,3,0,3,200,20,4,2,19,9,1,9,No,35-44,8001-12000
791,100786,40,20,4,Technical Degree,Male,Married,No,Research & Development,200,52.0,10322,20,1,Travel_Rarely,Research & Development,3,Healthcare Representative,4,4,4,200,14,6,3,11,10,11,1,No,35-44,8001-12000
792,100787,27,8,5,Life Sciences,Male,Married,No,Research & Development,200,23.0,4621,19,3,Non-Travel,Research & Development,1,Laboratory Technician,3,1,3,200,3,4,3,3,2,1,2,No,25-34,4001-6000
793,100788,55,2,1,Life Sciences,Male,Married,No,Research & Development,200,55.0,10976,18,1,Travel_Frequently,Research & Development,3,Manufacturing Director,2,3,3,200,23,4,3,3,2,1,2,No,55-60,8001-12000
794,100789,28,10,3,Other,Female,Single,No,Research & Development,200,18.0,3660,13,0,Travel_Rarely,Research & Development,2,Research Scientist,3,3,3,200,10,4,4,8,7,1,7,No,25-34,2001-4000
795,100790,44,1,2,Medical,Male,Married,Yes,Human Resources,200,52.0,10482,14,1,Travel_Rarely,Human Resources,3,Human Resources,1,9,2,200,24,1,3,20,6,3,6,No,35-44,8001-12000
796,100791,33,5,3,Life Sciences,Male,Divorced,No,Research & Development,200,36.0,7119,15,1,Travel_Rarely,Research & Development,3,Healthcare Representative,4,4,3,200,9,2,3,3,2,1,2,No,25-34,6001-8000
797,100792,35,4,3,Technical Degree,Male,Single,Yes,Sales,200,48.0,9582,22,0,Travel_Rarely,Sales,3,Sales Executive,1,0,2,200,9,2,3,8,7,4,7,Yes,35-44,8001-12000
798,100793,33,29,4,Medical,Female,Single,Yes,Research & Development,200,23.0,4508,22,0,Travel_Frequently,Research & Development,2,Research Scientist,3,1,4,200,14,4,3,13,7,3,8,No,25-34,4001-6000
799,100794,28,15,2,Life Sciences,Male,Divorced,No,Research & Development,200,11.0,2207,16,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,4,5,2,4,2,2,2,No,25-34,2001-4000
800,100795,34,3,1,Life Sciences,Male,Single,No,Research & Development,200,39.0,7756,17,0,Travel_Frequently,Research & Development,2,Healthcare Representative,4,0,3,200,7,1,2,6,2,0,4,No,25-34,6001-8000
801,100796,37,10,4,Life Sciences,Female,Divorced,No,Sales,200,33.0,6694,14,3,Travel_Rarely,Sales,2,Sales Executive,4,2,3,200,8,5,3,1,0,0,0,Yes,35-44,6001-8000
802,100797,25,4,1,Technical Degree,Male,Married,Yes,Research & Development,200,18.0,3691,15,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,7,3,4,7,7,5,6,Yes,25-34,2001-4000
803,100798,26,21,3,Medical,Male,Divorced,Yes,Research & Development,200,12.0,2377,20,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,4,200,1,0,2,1,1,0,0,No,25-34,2001-4000
804,100799,33,25,3,Medical,Male,Single,Yes,Research & Development,200,12.0,2313,20,0,Travel_Rarely,Research & Development,1,Research Scientist,2,4,4,200,5,0,3,2,2,2,2,Yes,25-34,2001-4000
805,100800,42,2,2,Medical,Male,Married,No,Research & Development,200,88.0,17665,17,1,Travel_Rarely,Research & Development,4,Manager,1,0,3,200,23,3,3,22,6,13,7,No,35-44,>15000
806,100801,28,1,3,Medical,Male,Divorced,Yes,Research & Development,200,13.0,2596,15,2,Travel_Frequently,Research & Development,1,Laboratory Technician,2,1,3,200,1,2,3,1,0,0,0,No,25-34,2001-4000
807,100802,50,1,4,Other,Male,Single,Yes,Sales,200,24.0,4728,14,0,Travel_Frequently,Sales,2,Sales Executive,3,3,3,200,5,4,3,0,0,0,0,Yes,45-54,4001-6000
808,100803,33,7,3,Life Sciences,Female,Married,No,Sales,200,22.0,4302,17,1,Travel_Frequently,Sales,2,Sales Executive,2,0,3,200,4,3,3,3,2,0,2,No,25-34,4001-6000
809,100804,34,3,4,Life Sciences,Male,Married,No,Research & Development,200,15.0,2979,17,3,Non-Travel,Research & Development,1,Research Scientist,4,3,3,200,6,2,3,0,0,0,0,No,25-34,2001-4000
810,100805,48,1,4,Medical,Male,Single,No,Research & Development,200,84.0,16885,22,0,Non-Travel,Research & Development,4,Manager,4,2,4,200,27,3,2,5,4,2,1,No,45-54,>15000
811,100806,45,9,4,Life Sciences,Female,Married,No,Sales,200,28.0,5593,13,1,Non-Travel,Sales,2,Sales Executive,3,1,3,200,15,2,3,15,10,4,12,No,45-54,4001-6000
812,100807,52,7,4,Life Sciences,Male,Single,No,Research & Development,200,52.0,10445,19,0,Travel_Rarely,Research & Development,3,Healthcare Representative,2,7,3,200,18,4,3,8,6,4,0,No,45-54,8001-12000
813,100808,38,10,4,Marketing,Male,Divorced,No,Sales,200,44.0,8740,14,2,Travel_Rarely,Sales,3,Sales Executive,3,0,3,200,9,2,3,8,7,2,7,Yes,35-44,8001-12000
814,100809,29,28,4,Life Sciences,Female,Divorced,No,Research & Development,200,13.0,2514,22,1,Travel_Rarely,Research & Development,1,Research Scientist,4,4,4,200,11,1,3,7,5,1,7,No,25-34,2001-4000
815,100810,28,3,3,Medical,Female,Divorced,No,Research & Development,200,38.0,7655,17,3,Travel_Rarely,Research & Development,3,Manufacturing Director,2,0,3,200,10,3,2,9,7,1,7,No,25-34,6001-8000
816,100811,46,3,1,Marketing,Male,Married,No,Sales,200,87.0,17465,12,1,Travel_Rarely,Sales,4,Manager,3,3,3,200,23,3,3,12,9,4,9,No,45-54,>15000
817,100812,38,2,2,Marketing,Male,Single,No,Sales,200,37.0,7351,16,0,Travel_Rarely,Sales,3,Sales Executive,2,7,3,200,10,2,3,1,0,0,0,No,35-44,6001-8000
818,100813,43,27,3,Life Sciences,Female,Married,No,Research & Development,200,54.0,10820,11,1,Travel_Frequently,Research & Development,3,Manufacturing Director,1,8,3,200,18,1,3,8,7,0,1,No,35-44,8001-12000
819,100814,39,2,3,Life Sciences,Male,Divorced,Yes,Research & Development,200,61.0,12169,11,3,Travel_Frequently,Research & Development,4,Healthcare Representative,4,7,3,200,21,4,3,18,7,11,5,No,35-44,12001-15000
820,100815,40,14,3,Medical,Male,Single,No,Research & Development,200,98.0,19626,14,0,Travel_Rarely,Research & Development,5,Research Director,3,1,3,200,21,2,4,20,7,4,9,No,35-44,>15000
821,100816,21,1,1,Technical Degree,Female,Single,No,Research & Development,200,10.0,2070,11,0,Travel_Rarely,Research & Development,1,Research Scientist,2,1,3,200,2,6,4,2,2,2,2,Yes,18-24,2001-4000
822,100817,39,9,3,Life Sciences,Male,Single,No,Research & Development,200,34.0,6782,15,0,Non-Travel,Research & Development,2,Laboratory Technician,2,9,2,200,9,2,2,5,4,0,3,No,35-44,6001-8000
823,100818,36,18,4,Life Sciences,Male,Single,No,Research & Development,200,39.0,7779,20,0,Non-Travel,Research & Development,2,Manufacturing Director,4,2,4,200,18,0,3,11,9,0,9,No,35-44,6001-8000
824,100819,31,20,3,Life Sciences,Male,Married,No,Sales,200,14.0,2791,12,1,Travel_Frequently,Sales,1,Sales Representative,4,0,3,200,3,4,3,2,2,2,2,No,25-34,2001-4000
825,100820,28,2,1,Life Sciences,Male,Married,No,Research & Development,200,16.0,3201,17,0,Travel_Rarely,Research & Development,1,Research Scientist,2,0,3,200,6,2,1,5,3,0,4,No,25-34,2001-4000
826,100821,35,11,2,Marketing,Male,Divorced,No,Sales,200,25.0,4968,11,1,Travel_Frequently,Sales,2,Sales Executive,4,1,3,200,5,3,3,5,2,0,2,No,35-44,4001-6000
827,100822,49,8,4,Technical Degree,Male,Married,No,Sales,200,66.0,13120,17,1,Travel_Rarely,Sales,4,Sales Executive,2,6,3,200,22,3,3,9,8,2,3,No,45-54,12001-15000
828,100823,34,2,2,Life Sciences,Male,Single,No,Research & Development,200,20.0,4033,11,0,Travel_Frequently,Research & Development,2,Manufacturing Director,3,2,3,200,5,3,2,3,2,0,2,No,25-34,4001-6000
829,100824,29,10,3,Life Sciences,Female,Divorced,No,Research & Development,200,16.0,3291,14,2,Travel_Frequently,Research & Development,1,Research Scientist,2,0,3,200,8,2,2,7,5,1,1,No,25-34,2001-4000
830,100825,42,29,3,Medical,Male,Single,No,Research & Development,200,21.0,4272,19,0,Travel_Rarely,Research & Development,2,Laboratory Technician,4,4,3,200,16,3,3,1,0,0,0,No,35-44,4001-6000
831,100826,29,8,1,Medical,Male,Married,No,Research & Development,200,25.0,5056,15,1,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,3,200,10,2,2,10,7,1,2,Yes,25-34,4001-6000
832,100827,38,1,3,Human Resources,Male,Married,No,Human Resources,200,14.0,2844,13,1,Travel_Rarely,Human Resources,1,Human Resources,3,1,3,200,7,2,4,7,6,5,0,No,35-44,2001-4000
833,100828,28,6,3,Life Sciences,Male,Divorced,No,Research & Development,200,14.0,2703,14,1,Travel_Frequently,Research & Development,1,Research Scientist,3,1,3,200,3,2,3,3,1,0,2,Yes,25-34,2001-4000
834,100829,18,8,1,Medical,Male,Single,Yes,Research & Development,200,10.0,1904,12,0,Non-Travel,Research & Development,1,Laboratory Technician,3,1,3,200,0,0,3,0,0,0,0,No,18-24,1000-2000
835,100830,33,9,4,Marketing,Female,Single,Yes,Sales,200,41.0,8224,17,0,Travel_Rarely,Sales,2,Sales Executive,1,0,3,200,6,3,3,5,2,0,3,Yes,25-34,8001-12000
836,100831,41,12,4,Life Sciences,Male,Married,No,Research & Development,200,24.0,4766,11,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,3,3,200,6,4,3,1,0,0,0,Yes,35-44,4001-6000
837,100832,31,15,3,Medical,Male,Married,Yes,Research & Development,200,13.0,2610,12,1,Travel_Frequently,Research & Development,1,Laboratory Technician,3,1,3,200,2,5,2,2,2,2,2,No,25-34,2001-4000
838,100833,37,25,2,Medical,Female,Divorced,No,Research & Development,200,29.0,5731,13,2,Travel_Rarely,Research & Development,2,Healthcare Representative,4,7,3,200,9,2,3,6,2,1,3,No,35-44,4001-6000
839,100834,27,6,3,Life Sciences,Male,Married,No,Research & Development,200,13.0,2539,13,1,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,4,0,3,4,2,2,2,No,25-34,2001-4000
840,100835,34,9,1,Life Sciences,Female,Married,No,Sales,200,29.0,5714,20,0,Travel_Rarely,Sales,2,Sales Executive,3,1,4,200,6,3,2,6,5,1,3,No,25-34,4001-6000
841,100836,35,8,4,Technical Degree,Male,Single,No,Human Resources,200,22.0,4323,17,0,Travel_Rarely,Human Resources,1,Human Resources,3,1,3,200,6,2,1,5,4,1,4,No,35-44,4001-6000
842,100837,29,23,1,Life Sciences,Female,Married,Yes,Sales,200,37.0,7336,13,1,Travel_Rarely,Sales,3,Sales Executive,1,1,2,200,11,3,1,11,8,3,10,No,25-34,6001-8000
843,100838,40,9,4,Medical,Female,Single,No,Research & Development,200,67.0,13499,17,0,Travel_Frequently,Research & Development,3,Research Director,3,9,3,200,20,3,2,18,7,2,13,No,35-44,12001-15000
844,100839,42,12,3,Life Sciences,Male,Single,Yes,Sales,200,69.0,13758,12,0,Travel_Frequently,Sales,4,Sales Executive,1,0,1,200,22,2,2,21,9,13,14,Yes,35-44,12001-15000
845,100840,42,4,4,Marketing,Male,Single,No,Sales,200,26.0,5155,13,0,Travel_Rarely,Sales,2,Sales Executive,1,7,1,200,9,3,4,6,4,1,5,No,35-44,4001-6000
846,100841,35,1,4,Medical,Male,Married,No,Research & Development,200,11.0,2258,12,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,6,3,200,10,2,3,8,0,1,7,No,35-44,2001-4000
847,100842,24,24,3,Medical,Male,Single,No,Research & Development,200,18.0,3597,22,0,Travel_Rarely,Research & Development,1,Laboratory Technician,2,8,4,200,6,2,3,4,3,1,2,No,18-24,2001-4000
848,100843,28,12,1,Life Sciences,Female,Married,Yes,Research & Development,200,13.0,2515,11,0,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,1,4,2,1,1,0,0,Yes,25-34,2001-4000
849,100844,26,3,4,Medical,Male,Married,No,Research & Development,200,22.0,4420,22,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,4,200,8,2,3,8,7,0,7,No,25-34,4001-6000
850,100845,30,10,3,Marketing,Male,Married,No,Sales,200,33.0,6578,18,1,Travel_Rarely,Sales,2,Sales Executive,3,1,3,200,10,3,3,10,3,1,4,No,25-34,6001-8000
851,100846,40,26,2,Medical,Female,Married,No,Research & Development,200,22.0,4422,13,1,Travel_Frequently,Research & Development,2,Research Scientist,4,3,3,200,16,3,1,1,1,0,0,Yes,35-44,4001-6000
852,100847,35,2,3,Life Sciences,Male,Divorced,No,Research & Development,200,51.0,10274,18,1,Travel_Rarely,Research & Development,3,Manufacturing Director,2,2,3,200,15,2,4,7,7,6,4,No,35-44,8001-12000
853,100848,34,1,3,Medical,Male,Single,No,Research & Development,200,27.0,5343,20,0,Travel_Frequently,Research & Development,2,Healthcare Representative,1,0,4,200,14,3,3,13,9,4,9,No,25-34,4001-6000
854,100849,35,4,4,Other,Male,Married,No,Research & Development,200,12.0,2376,13,1,Travel_Frequently,Research & Development,1,Laboratory Technician,4,1,3,200,2,2,4,2,2,2,2,No,35-44,2001-4000
855,100850,43,9,3,Marketing,Female,Single,Yes,Sales,200,27.0,5346,13,0,Travel_Rarely,Sales,2,Sales Executive,3,8,3,200,7,2,2,4,3,1,3,No,35-44,4001-6000
856,100851,32,2,1,Life Sciences,Female,Divorced,No,Sales,200,14.0,2827,12,3,Non-Travel,Sales,1,Sales Representative,1,1,3,200,1,3,3,1,0,0,0,No,25-34,2001-4000
857,100852,56,4,4,Technical Degree,Female,Divorced,No,Research & Development,200,100.0,19943,13,1,Travel_Rarely,Research & Development,5,Manager,1,4,3,200,28,2,3,5,2,4,2,No,55-60,>15000
858,100853,29,6,1,Medical,Female,Married,No,Research & Development,200,16.0,3131,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,4,1,3,200,10,5,3,10,8,0,8,No,25-34,2001-4000
859,100854,19,9,2,Life Sciences,Male,Single,No,Research & Development,200,13.0,2552,25,0,Travel_Rarely,Research & Development,1,Research Scientist,1,1,4,200,1,4,3,1,1,0,0,No,18-24,2001-4000
860,100855,45,7,3,Medical,Female,Married,No,Research & Development,200,22.0,4477,19,1,Travel_Rarely,Research & Development,1,Research Scientist,3,4,3,200,7,2,2,3,2,0,2,Yes,45-54,4001-6000
861,100856,37,1,3,Life Sciences,Female,Married,No,Research & Development,200,32.0,6474,13,1,Travel_Rarely,Research & Development,2,Manufacturing Director,4,1,3,200,14,2,2,14,8,3,11,No,35-44,6001-8000
862,100857,20,3,3,Life Sciences,Male,Single,No,Research & Development,200,15.0,3033,12,0,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,2,2,2,2,2,1,2,No,18-24,2001-4000
863,100858,44,10,4,Life Sciences,Male,Single,Yes,Research & Development,200,15.0,2936,11,0,Travel_Rarely,Research & Development,1,Research Scientist,3,1,3,200,6,4,3,6,4,0,2,Yes,35-44,2001-4000
864,100859,53,7,2,Medical,Female,Divorced,No,Research & Development,200,93.0,18606,18,1,Travel_Rarely,Research & Development,5,Manager,3,3,3,200,26,6,3,7,7,4,7,No,45-54,>15000
865,100860,29,15,1,Life Sciences,Female,Married,No,Research & Development,200,11.0,2168,18,1,Travel_Rarely,Research & Development,1,Research Scientist,4,0,3,200,6,2,2,5,4,1,3,Yes,25-34,2001-4000
866,100861,22,3,4,Life Sciences,Male,Married,Yes,Research & Development,200,14.0,2853,11,1,Travel_Frequently,Research & Development,1,Research Scientist,4,0,3,200,1,5,3,0,0,0,0,Yes,18-24,2001-4000
867,100862,46,2,3,Marketing,Female,Married,No,Sales,200,85.0,17048,23,0,Travel_Rarely,Sales,4,Manager,1,8,3,200,28,2,3,26,15,15,9,No,45-54,>15000
868,100863,44,17,3,Life Sciences,Male,Single,No,Research & Development,200,11.0,2290,13,0,Non-Travel,Research & Development,1,Research Scientist,3,2,3,200,6,3,3,0,0,0,0,No,35-44,2001-4000
869,100864,33,2,3,Human Resources,Male,Married,No,Human Resources,200,18.0,3600,13,1,Travel_Rarely,Human Resources,1,Human Resources,3,1,3,200,5,2,3,5,4,1,4,No,25-34,2001-4000
870,100865,41,5,2,Life Sciences,Male,Divorced,Yes,Research & Development,200,11.0,2107,17,1,Non-Travel,Research & Development,1,Research Scientist,1,6,3,200,5,2,1,1,0,0,0,No,35-44,2001-4000
871,100866,30,29,4,Life Sciences,Male,Divorced,No,Sales,200,21.0,4115,19,3,Travel_Rarely,Sales,2,Sales Executive,1,8,3,200,8,3,3,4,3,0,3,No,25-34,4001-6000
872,100867,40,2,4,Medical,Male,Married,No,Sales,200,22.0,4327,12,3,Travel_Frequently,Sales,2,Sales Executive,2,5,3,200,5,2,3,0,0,0,0,No,35-44,4001-6000
873,100868,50,2,3,Medical,Female,Married,No,Research & Development,200,89.0,17856,22,1,Travel_Frequently,Research & Development,4,Manager,1,2,4,200,32,3,3,2,2,2,2,No,45-54,>15000
874,100869,28,19,4,Medical,Male,Married,No,Research & Development,200,16.0,3196,12,3,Travel_Rarely,Research & Development,1,Laboratory Technician,1,1,3,200,6,2,3,6,5,3,3,No,25-34,2001-4000
875,100870,46,15,2,Life Sciences,Male,Married,No,Research & Development,200,95.0,19081,11,1,Travel_Rarely,Research & Development,5,Research Director,2,5,3,200,25,2,3,4,2,0,3,No,45-54,>15000
876,100871,35,17,4,Life Sciences,Male,Married,No,Sales,200,45.0,8966,15,3,Travel_Rarely,Sales,2,Sales Executive,1,3,3,200,15,2,3,7,7,1,7,Yes,35-44,8001-12000
877,100872,24,17,2,Life Sciences,Female,Married,Yes,Research & Development,200,11.0,2210,13,1,Travel_Rarely,Research & Development,1,Laboratory Technician,2,1,3,200,1,3,1,1,0,0,0,No,18-24,2001-4000
878,100873,33,25,3,Medical,Female,Married,No,Sales,200,23.0,4539,12,1,Travel_Frequently,Sales,2,Sales Executive,3,1,3,200,10,3,2,10,7,0,1,No,25-34,4001-6000
879,100874,36,6,4,Life Sciences,Male,Divorced,No,Research & Development,200,14.0,2741,14,1,Travel_Rarely,Research & Development,1,Laboratory Technician,3,1,3,200,7,4,3,7,7,1,7,No,35-44,2001-4000
880,100875,30,7,4,Life Sciences,Male,Divorced,No,Research & Development,200,17.0,3491,13,3,Travel_Rarely,Research & Development,2,Laboratory Technician,3,1,3,200,10,4,2,10,7,8,9,No,25-34,2001-4000
881,100876,44,29,4,Other,Male,Single,No,Research & Development,200,23.0,4541,25,0,Travel_Rarely,Research & Development,2,Research Scientist,4,1,4,200,20,3,3,20,11,13,17,No,35-44,4001-6000
882,100877,20,21,3,Marketing,Male,Single,No,Sales,200,13.0,2678,17,0,Travel_Rarely,Sales,1,Sales Representative,4,1,3,200,2,2,3,2,1,2,2,No,18-24,2001-4000
883,100878,46,2,4,Technical Degree,Male,Divorced,No,Research & Development,200,37.0,7379,11,1,Travel_Rarely,Research & Development,2,Manufacturing Director,4,2,3,200,12,3,2,6,3,1,4,No,45-54,6001-8000
884,100879,42,2,5,Medical,Male,Married,No,Human Resources,200,31.0,6272,16,1,Non-Travel,Human Resources,2,Human Resources,1,7,3,200,10,3,4,4,3,0,3,No,35-44,6001-8000
885,100880,60,7,4,Marketing,Male,Divorced,No,Sales,200,26.0,5220,18,1,Travel_Rarely,Sales,2,Sales Executive,4,0,3,200,12,3,3,11,7,1,9,Yes,55-60,4001-6000
886,100881,32,13,3,Other,Female,Married,No,Research & Development,200,14.0,2743,20,1,Travel_Frequently,Research & Development,1,Laboratory Technician,2,1,4,200,2,2,3,2,2,2,2,No,25-34,2001-4000
887,100882,32,2,2,Life Sciences,Female,Single,No,Research & Development,200,25.0,4998,14,0,Travel_Frequently,Research & Development,2,Research Scientist,3,4,3,200,10,2,3,8,7,0,7,Yes,25-34,4001-6000
888,100883,36,1,3,Technical Degree,Female,Divorced,No,Research & Development,200,51.0,10252,21,1,Travel_Rarely,Research & Development,3,Manufacturing Director,1,2,4,200,17,2,3,7,7,7,7,Yes,35-44,8001-12000
889,100884,33,9,3,Medical,Male,Married,No,Research & Development,200,14.0,2781,13,1,Travel_Rarely,Research & Development,1,Research Scientist,4,0,3,200,15,5,3,14,10,4,10,No,25-34,2001-4000
890,100885,40,10,3,Technical Degree,Female,Divorced,No,Sales,200,34.0,6852,12,1,Travel_Rarely,Sales,2,Sales Executive,2,7,3,200,7,2,4,5,1,1,3,No,35-44,6001-8000
891,100886,25,10,4,Life Sciences,Male,Single,No,Sales,200,25.0,4950,14,0,Travel_Rarely,Sales,2,Sales Executive,4,0,3,200,5,4,3,4,3,1,1,No,25-34,4001-6000
892,100887,30,1,3,Medical,Male,Married,No,Research & Development,200,18.0,3579,21,1,Travel_Rarely,Research & Development,1,Research Scientist,2,0,4,200,12,2,3,11,9,5,7,Yes,25-34,2001-4000
893,100888,42,26,5,Medical,Female,Married,No,Research & Development,200,66.0,13191,17,0,Travel_Frequently,Research & Development,3,Research Director,1,3,3,200,20,6,3,1,0,0,0,Yes,35-44,12001-15000
894,100889,35,8,2,Marketing,Female,Married,No,Sales,200,52.0,10377,11,1,Non-Travel,Sales,3,Sales Executive,4,4,3,200,16,6,2,13,2,4,12,Yes,35-44,8001-12000
895,100890,27,14,3,Life Sciences,Male,Married,No,Research & Development,200,11.0,2235,14,2,Travel_Rarely,Research & Development,1,Research Scientist,1,1,1,200,9,3,2,9,7,6,8,Yes,25-34,2001-4000
896,100891,54,1,4,Life Sciences,Female,Divorced,No,Research & Development,200,53.0,10502,17,1,Travel_Frequently,Research & Development,3,Manufacturing Director,3,7,3,200,33,2,1,5,4,1,4,No,45-54,8001-12000
897,100892,44,2,1,Life Sciences,Female,Married,No,Research & Development,200,10.0,2011,13,1,Travel_Rarely,Research & Development,1,Research Scientist,4,1,3,200,10,5,3,10,5,7,7,No,35-44,2001-4000
